Source,Target,Weight
1048,25,71
1199,932,12
1199,1048,5
932,1048,53
112,916,26
916,25,95
1199,916,1
932,916,14
1048,916,1
430,544,35
430,171,24
430,245,14
430,156,15
171,544,29
245,544,6
156,544,8
245,171,56
171,156,22
245,156,13
46,251,230
251,178,46
171,284,70
245,284,18
1229,171,14
1229,245,5
1229,3,121
1229,284,3
932,127,32
251,4,88
112,494,296
494,494,8
209,494,46
85,422,137
16,422,85
2,422,43
296,188,39
188,422,9
85,188,37
188,16,74
2,188,25
188,1,51
1096,1096,43
368,1096,21
7,1096,45
46,368,190
46,7,84
368,1,146
368,7,38
68,368,54
68,734,18
368,226,39
368,734,18
874,226,23
734,226,9
159,368,24
159,734,8
85,874,108
287,874,23
1266,137,22
836,1266,14
1266,465,11
1229,1266,7
137,465,7
1229,137,4
836,465,26
836,1229,30
1229,465,21
1266,25,52
465,25,45
1229,25,52
85,215,10
85,68,200
966,154,33
67,154,116
387,154,49
344,154,47
154,1,103
2,154,70
966,3,238
966,296,46
67,966,41
387,966,33
966,344,22
966,1,21
2,966,13
67,2,112
387,344,77
2,387,56
344,1,79
2,344,67
932,233,18
245,932,5
171,932,26
172,932,7
245,112,19
112,171,69
172,112,28
172,25,88
171,233,32
172,233,13
245,172,13
348,932,1
348,112,19
348,25,32
348,233,1
348,245,6
348,171,9
348,172,5
1229,63,16
1229,194,6
1229,16,34
1229,123,6
1229,543,2
194,63,19
16,63,115
123,63,40
543,63,30
194,16,77
194,123,6
543,194,4
16,123,79
543,123,15
707,900,18
642,707,12
707,579,14
642,900,23
579,900,9
642,579,21
908,3,234
908,154,23
836,16,123
836,251,43
836,438,181
836,328,4
251,16,157
16,438,53
328,16,73
251,438,17
251,328,17
55,1047,2
1047,494,17
112,1047,36
55,112,10
55,25,56
544,1,131
2,544,63
251,247,50
247,287,21
296,247,55
25,319,141
25,7,59
319,81,11
112,7,44
7,319,11
4,424,63
424,1,101
85,424,103
46,424,102
424,438,5
328,424,8
4,4,88
4,438,48
328,4,50
438,1,166
328,1,134
85,438,42
85,328,54
494,134,15
67,494,27
368,494,52
68,7,31
7,422,17
7,222,26
222,16,283
68,422,20
68,222,74
222,422,48
46,422,179
222,344,66
222,233,18
46,233,204
344,233,34
251,127,84
251,113,9
127,178,41
113,178,11
127,422,43
113,127,16
113,422,12
113,1385,22
251,1385,3
1385,178,3
1385,25,35
1385,127,1
1385,422,2
120,134,51
387,120,16
251,120,51
387,134,126
251,387,37
55,120,7
55,134,17
55,387,1
55,251,6
46,1403,10
46,1404,19
46,27,102
1403,63,7
1404,63,14
1404,1403,68
1403,27,12
1403,25,118
1404,27,99
1404,25,333
46,1084,17
1084,63,1
1084,1403,1
1084,1404,5
296,827,104
296,157,91
827,157,26
46,827,290
46,157,153
154,123,36
154,544,47
902,154,5
908,123,11
908,544,12
908,902,4
544,123,20
25,123,107
902,123,9
25,544,107
902,544,7
25,902,37
85,344,117
85,222,143
408,25,85
112,29,16
1441,127,14
1441,3,83
1441,46,38
1441,247,4
127,247,69
26,1455,88
25,1455,28
1455,81,8
26,81,57
25,361,83
1404,4,9
1404,361,11
1404,126,13
361,4,22
361,126,8
25,1096,50
1096,81,10
1096,226,20
836,159,13
159,63,32
836,63,26
642,106,18
430,106,80
1477,106,16
1478,106,12
106,247,20
106,166,8
106,128,6
106,827,8
106,251,5
642,58,71
1477,642,30
642,1478,50
642,109,14
100,642,65
642,247,11
642,63,19
642,166,16
642,827,25
642,251,18
430,58,256
1477,430,78
430,1478,53
430,109,53
100,430,126
430,247,19
430,63,26
430,166,24
430,4,69
430,827,40
430,16,124
430,251,31
1477,58,74
1478,58,58
58,247,35
58,166,10
58,128,8
58,827,18
58,251,21
1477,1478,24
1477,109,6
1477,100,37
1477,247,8
1477,63,8
1477,166,8
1477,128,8
1477,4,20
1477,827,4
1477,16,29
1477,3,94
1477,251,14
1478,109,4
100,1478,16
1478,247,4
1478,63,7
1478,166,7
1478,128,8
1478,4,18
1478,827,10
1478,16,25
1478,3,71
1478,251,10
109,247,22
109,166,8
109,128,8
109,827,16
109,251,7
100,247,28
100,166,14
100,128,12
100,827,18
100,251,19
247,63,36
166,247,15
247,128,34
247,827,23
166,63,22
63,128,37
251,63,90
166,128,12
166,4,17
166,827,10
166,16,77
251,166,22
128,128,114
4,128,69
827,128,28
827,827,18
251,827,67
251,723,20
723,544,40
723,424,9
723,579,8
579,3,213
251,544,38
251,424,58
251,579,25
424,544,11
579,544,8
579,424,12
348,159,12
159,171,47
124,707,5
124,1,10
124,85,25
124,1516,2
124,908,2
124,251,4
707,1,54
85,707,61
707,127,16
1516,707,4
707,908,6
251,707,28
1516,1,20
908,1,45
1516,85,39
85,908,55
1516,127,5
908,127,6
1516,908,4
1516,3,69
251,1516,17
251,908,14
733,127,47
25,733,254
222,157,28
914,157,14
68,914,10
222,914,6
25,222,100
827,1,196
46,966,53
171,247,27
251,171,57
112,1516,10
112,178,66
41,156,58
156,902,368
1516,156,365
156,178,15
156,16,58
156,874,242
41,902,12
1516,41,35
1516,902,245
178,902,15
902,16,23
874,902,229
1516,178,14
1516,16,28
1516,874,220
178,874,77
112,112,167
707,247,10
247,319,8
2,247,45
707,319,17
2,707,15
319,1,50
2,319,19
1174,27,13
1174,26,1
41,287,36
171,287,43
7,361,11
171,7,33
361,16,56
171,361,17
112,522,36
522,157,13
522,1,42
67,522,64
522,13,12
112,157,51
112,1,142
157,1,150
67,157,87
13,157,17
13,1,76
67,13,72
522,296,50
836,827,45
68,827,67
112,966,238
966,16,122
112,1404,80
1404,156,13
1496,25,72
68,1496,1
188,4,49
188,222,6
46,188,70
172,188,15
172,4,35
172,222,46
46,172,282
1404,188,4
1404,222,4
172,1404,4
100,707,6
100,233,18
100,7,6
100,67,29
100,361,9
101,707,12
101,233,6
101,7,4
101,67,11
101,361,6
109,707,4
109,233,6
109,7,4
109,67,8
109,361,10
707,233,19
707,7,8
707,707,7
67,707,56
707,361,21
707,226,17
46,707,54
7,233,7
67,233,63
361,233,13
233,226,37
67,7,54
7,226,12
67,361,34
67,226,40
361,361,11
361,226,15
46,361,83
68,123,30
68,496,15
85,123,82
85,496,73
81,123,72
81,496,11
46,496,71
226,123,46
496,123,17
226,496,22
465,1403,2
258,874,22
41,258,17
258,1,27
258,242,14
2,258,20
258,3,135
46,258,45
2,874,116
41,242,23
2,41,65
63,1,221
2,63,74
422,63,62
4,422,52
707,522,9
707,128,7
522,128,35
46,522,63
966,494,44
387,128,19
966,134,38
14,966,6
966,128,13
14,134,34
14,128,133
368,1404,28
368,25,214
1404,26,131
188,233,17
171,188,18
67,171,155
68,424,72
1229,368,7
1229,14,4
1229,134,17
1229,67,18
1229,1404,3
1229,1403,6
836,368,28
14,368,10
368,134,76
67,368,77
368,1403,5
836,14,22
836,67,67
836,1404,15
836,1403,8
67,14,56
14,25,297
14,1404,5
14,1403,2
1404,134,17
1403,134,10
67,1404,15
67,1403,26
67,194,64
387,194,22
13,81,11
13,247,23
171,13,38
543,13,11
2,13,31
247,81,29
543,81,20
171,543,16
171,2,79
2,543,45
95,874,24
734,63,19
734,4,33
734,1,112
112,361,36
242,361,6
112,242,23
837,242,4
837,361,1
112,837,15
837,1,7
296,126,50
368,296,148
296,120,46
171,126,28
171,368,26
171,120,45
368,126,29
368,120,92
1404,296,24
171,1404,6
1404,120,6
3,1029,457
120,1029,12
4,1029,46
242,1029,20
440,1029,5
46,1029,72
120,4,39
120,120,41
242,120,26
440,120,11
46,120,114
440,4,37
440,1,99
440,242,39
58,134,36
58,914,8
58,123,10
46,914,289
296,914,16
296,123,43
914,134,22
123,134,47
4,134,125
914,123,2
914,4,22
4,123,49
966,1403,20
966,25,228
837,1029,3
837,26,25
837,16,18
837,233,8
26,1029,28
26,233,19
1775,13,3
67,1775,12
723,25,71
25,1029,79
242,127,30
2,127,78
723,127,41
127,1029,28
723,242,60
723,2,127
723,1029,34
25,438,23
827,438,16
26,438,13
26,827,39
368,63,42
63,63,23
120,63,35
120,226,15
465,104,2
104,67,13
104,85,16
100,465,6
100,85,75
465,46,33
465,85,16
178,827,22
178,81,39
76,154,8
76,171,26
76,284,16
76,166,4
159,76,10
171,154,66
284,154,14
166,154,28
159,154,31
171,166,17
284,166,21
85,1404,45
58,25,127
58,284,6
58,522,14
25,522,83
284,522,8
522,424,15
58,424,10
284,424,7
67,166,52
707,166,24
707,296,48
707,134,33
707,154,41
707,422,7
707,194,7
166,134,36
85,166,104
166,422,6
166,194,28
85,154,245
85,194,38
154,422,28
194,422,10
348,127,10
348,1012,5
348,226,10
348,68,10
348,156,5
348,1096,4
348,16,54
1012,127,15
156,127,31
127,1096,26
1012,226,5
1012,68,21
1012,156,54
1012,1096,2
1012,16,40
156,226,8
68,156,49
68,1096,18
156,1096,5
348,723,3
1012,723,9
723,68,40
723,156,3
723,1096,11
723,16,98
251,123,44
251,2,80
67,123,68
127,123,26
26,194,37
595,1,177
595,2,91
836,296,115
112,1775,21
112,1084,23
112,408,22
1775,16,4
1084,16,47
408,16,17
1775,3,11
1084,3,55
408,3,32
387,1775,4
387,1084,11
387,837,6
387,408,5
1775,296,10
1084,296,8
837,296,2
408,296,8
1775,25,98
1084,1775,8
837,1775,7
1775,408,2
837,1084,5
1084,408,10
837,408,3
85,319,120
387,319,21
494,319,8
368,319,30
85,494,39
85,126,73
85,368,95
387,494,52
494,126,10
932,319,10
85,932,48
387,932,26
932,494,33
932,126,7
368,932,23
85,7,57
7,123,28
171,85,202
171,123,40
171,319,27
319,123,15
391,494,20
391,120,19
112,391,57
25,391,116
494,120,6
112,120,54
387,222,29
723,222,78
46,723,355
387,7,10
723,7,18
723,387,12
723,4,59
188,63,8
171,63,43
188,226,52
245,68,44
222,154,72
245,222,76
245,154,21
46,595,70
595,723,69
245,723,91
723,723,23
245,595,6
1744,26,4
932,26,82
14,1029,84
14,1744,6
14,932,11
1744,1029,4
932,1029,7
932,1744,12
1744,25,59
109,424,6
109,328,4
361,424,17
827,424,23
251,361,30
361,328,6
328,827,33
361,827,17
137,14,13
137,408,6
137,1744,2
14,408,17
408,1744,10
188,287,2
222,874,77
874,1029,52
112,222,72
112,1029,35
222,1029,29
112,2,74
2,222,75
496,128,24
157,128,24
296,496,39
900,496,12
496,134,19
157,496,15
900,134,34
900,157,13
157,134,49
137,874,10
137,112,18
137,222,10
137,1029,6
137,2,9
95,67,24
120,344,20
344,900,22
827,344,40
120,900,4
120,827,18
827,900,24
251,344,28
251,900,12
430,319,12
430,120,20
430,1,89
430,112,46
120,319,18
46,319,52
251,159,31
258,258,18
245,16,98
902,1,32
2,902,9
120,16,80
723,422,33
422,226,26
723,85,44
67,723,30
2059,4,6
67,2059,18
67,4,174
4,233,30
159,422,18
159,723,11
58,85,80
58,112,30
1199,827,2
27,7,6
932,7,12
552,7,3
29,7,2
112,27,60
112,552,6
932,27,36
552,27,3
932,552,23
29,932,13
29,552,8
26,361,14
494,16,106
494,361,8
494,222,16
172,494,6
172,16,87
222,361,23
172,361,2
836,127,36
41,900,42
27,900,16
900,1,51
46,900,53
2110,900,2
900,544,22
284,900,2
1084,900,2
41,27,60
2110,41,18
41,544,60
284,41,21
41,1084,21
27,1,19
27,3,213
2110,27,2
27,544,14
284,27,17
2110,1,10
1084,1,5
2110,3,38
46,2110,4
46,284,114
2110,544,12
284,2110,2
2110,1084,4
284,544,15
1084,544,2
284,1084,4
85,1744,19
85,133,40
85,408,26
1744,133,4
408,133,84
85,916,15
916,1744,1
916,133,6
408,916,2
215,157,3
1744,157,4
112,215,10
112,1744,14
215,1744,10
1229,55,8
1229,430,12
1229,85,43
1229,13,6
1229,1084,6
1229,68,18
1229,159,23
430,55,61
55,85,30
55,13,6
55,1084,9
55,159,6
430,13,29
430,1084,11
430,159,19
85,13,80
85,1084,24
1084,13,8
25,13,118
159,13,30
68,1084,17
159,1084,20
2059,154,1
2059,3,14
26,134,86
46,2150,283
2150,226,2
2150,134,5
26,2150,68
58,408,2
56,408,2
56,134,19
408,134,14
7,154,19
874,154,56
154,63,27
723,154,31
7,134,45
7,874,9
7,63,27
245,7,21
7,296,33
874,134,100
63,134,48
245,134,21
723,134,30
874,123,44
245,123,45
723,123,20
874,63,32
245,874,28
723,874,52
723,63,15
245,296,28
26,371,28
2150,371,2
13,134,48
932,13,11
932,134,27
2,157,66
157,157,20
157,371,19
543,371,12
543,543,73
95,2,94
95,371,17
95,95,7
2,371,23
157,123,34
95,123,26
371,123,45
68,26,100
26,2173,45
46,2173,286
2173,134,6
2173,3,4
68,2173,42
2150,2173,511
2150,3,15
68,2150,41
95,7,8
95,827,23
95,251,16
95,120,8
95,209,4
7,827,19
251,7,26
7,120,9
7,209,7
209,827,4
251,209,8
209,120,16
85,209,32
209,3,127
391,209,4
296,209,40
391,296,50
85,26,142
85,2173,12
85,2150,12
2150,1455,359
68,1455,41
85,1455,18
1455,2173,190
932,16,33
46,209,32
209,1,9
707,209,10
368,707,10
133,120,13
251,133,25
914,438,227
438,438,109
874,438,421
2173,438,184
2150,438,184
2173,914,90
2150,914,90
2173,874,436
2150,874,390
1455,438,92
46,1455,147
1455,914,46
1455,874,200
107,438,4
107,1477,12
107,579,6
107,154,10
107,368,6
1477,438,8
579,438,5
154,438,39
127,438,15
368,438,18
1477,579,5
1477,154,13
1477,127,9
1477,368,6
579,154,30
579,127,8
368,579,22
127,154,65
368,154,53
368,127,70
112,344,155
112,127,91
127,344,88
159,112,39
159,344,12
159,127,39
137,68,16
137,296,50
137,188,4
137,226,2
137,1,34
68,188,10
16,544,177
67,544,51
112,287,18
112,1096,44
287,16,47
287,344,10
344,1096,12
287,1096,13
408,27,11
126,233,9
900,233,6
46,733,72
46,126,34
85,733,73
25,900,54
733,126,22
733,900,4
126,900,11
368,233,37
368,900,11
1775,7,5
368,1775,6
1084,7,3
368,1084,11
836,1096,11
2,134,93
642,1029,21
642,914,3
642,1,73
642,242,10
642,2,35
642,734,9
734,1029,21
1029,1029,46
242,914,7
242,734,23
2,734,53
171,222,112
171,157,54
171,344,51
26,222,50
27,222,17
26,157,29
85,27,105
344,157,13
27,157,14
27,344,27
1096,63,22
166,874,22
874,157,50
408,874,15
166,157,5
408,166,3
408,157,4
25,166,131
391,4,31
391,222,8
391,424,8
26,522,13
85,522,50
46,28,18
28,28,3
85,28,11
28,908,8
28,422,6
28,296,7
28,113,14
28,336,7
46,31,11
46,908,117
46,113,27
46,336,6
85,31,19
31,908,2
31,422,4
