Source,Target,Weight
707,226,17
46,707,54
7,233,7
67,233,63
361,233,13
233,226,37
67,7,54
7,226,12
67,361,34
67,226,40
361,361,11
361,226,15
46,361,83
68,123,30
68,496,15
85,123,82
85,496,73
81,123,72
81,496,11
46,496,71
226,123,46
496,123,17
226,496,22
258,874,22
41,258,17
258,1,27
258,242,14
2,258,20
258,3,135
46,258,45
2,874,116
41,242,23
2,41,65
63,1,221
2,63,74
422,63,62
4,422,52
707,522,9
707,128,7
522,128,35
46,522,63
966,494,44
387,128,19
966,134,38
14,966,6
966,128,13
14,134,34
14,128,133
188,233,17
171,188,18
67,171,155
68,424,72
14,368,10
368,134,76
67,368,77
67,14,56
67,194,64
387,194,22
13,81,11
13,247,23
171,13,38
543,13,11
2,13,31
247,81,29
543,81,20
171,543,16
171,2,79
2,543,45
95,874,24
734,63,19
734,4,33
734,1,112
112,361,36
242,361,6
112,242,23
296,126,50
368,296,148
296,120,46
171,126,28
171,368,26
171,120,45
368,126,29
368,120,92
3,1029,457
120,1029,12
4,1029,46
242,1029,20
440,1029,5
46,1029,72
120,4,39
120,120,41
242,120,26
440,120,11
46,120,114
440,4,37
440,1,99
440,242,39
46,914,289
296,914,16
296,123,43
914,134,22
123,134,47
4,134,125
914,123,2
914,4,22
4,123,49
242,127,30
2,127,78
723,127,41
127,1029,28
723,242,60
723,2,127
723,1029,34
827,438,16
368,63,42
63,63,23
120,63,35
120,226,15
178,827,22
178,81,39
76,154,8
76,171,26
76,284,16
76,166,4
159,76,10
171,154,66
284,154,14
166,154,28
159,154,31
171,166,17
284,166,21
284,522,8
522,424,15
284,424,7
67,166,52
707,166,24
707,296,48
707,134,33
707,154,41
707,422,7
707,194,7
166,134,36
85,166,104
166,422,6
166,194,28
85,154,245
85,194,38
154,422,28
194,422,10
156,127,31
127,1096,26
156,226,8
68,156,49
68,1096,18
156,1096,5
723,68,40
723,156,3
723,1096,11
723,16,98
251,123,44
251,2,80
67,123,68
127,123,26
595,1,177
595,2,91
85,319,120
387,319,21
494,319,8
368,319,30
85,494,39
85,126,73
85,368,95
387,494,52
494,126,10
85,7,57
7,123,28
171,85,202
171,123,40
171,319,27
319,123,15
391,494,20
391,120,19
112,391,57
494,120,6
112,120,54
387,222,29
723,222,78
46,723,355
387,7,10
723,7,18
723,387,12
723,4,59
188,63,8
171,63,43
188,226,52
245,68,44
222,154,72
245,222,76
245,154,21
46,595,70
595,723,69
245,723,91
723,723,23
245,595,6
14,1029,84
361,424,17
827,424,23
251,361,30
361,328,6
328,827,33
361,827,17
188,287,2
222,874,77
874,1029,52
112,222,72
112,1029,35
222,1029,29
112,2,74
2,222,75
496,128,24
157,128,24
296,496,39
900,496,12
496,134,19
157,496,15
900,134,34
900,157,13
157,134,49
95,67,24
120,344,20
344,900,22
827,344,40
120,900,4
120,827,18
827,900,24
251,344,28
251,900,12
120,319,18
46,319,52
251,159,31
258,258,18
245,16,98
902,1,32
2,902,9
120,16,80
723,422,33
422,226,26
723,85,44
67,723,30
67,4,174
4,233,30
159,422,18
159,723,11
494,16,106
494,361,8
494,222,16
172,494,6
172,16,87
222,361,23
172,361,2
41,900,42
900,1,51
46,900,53
2110,900,2
900,544,22
284,900,2
2110,41,18
41,544,60
284,41,21
2110,1,10
2110,3,38
46,2110,4
46,284,114
2110,544,12
284,2110,2
284,544,15
85,13,80
159,13,30
7,154,19
874,154,56
154,63,27
723,154,31
7,134,45
7,874,9
7,63,27
245,7,21
7,296,33
874,134,100
63,134,48
245,134,21
723,134,30
874,123,44
245,123,45
723,123,20
874,63,32
245,874,28
723,874,52
723,63,15
245,296,28
13,134,48
2,157,66
157,157,20
157,371,19
543,371,12
543,543,73
95,2,94
95,371,17
95,95,7
2,371,23
157,123,34
95,123,26
371,123,45
95,7,8
95,827,23
95,251,16
95,120,8
95,209,4
7,827,19
251,7,26
7,120,9
7,209,7
209,827,4
251,209,8
209,120,16
85,209,32
209,3,127
391,209,4
296,209,40
391,296,50
46,209,32
209,1,9
707,209,10
368,707,10
914,438,227
438,438,109
874,438,421
579,438,5
154,438,39
127,438,15
368,438,18
579,154,30
579,127,8
368,579,22
127,154,65
368,154,53
368,127,70
112,344,155
112,127,91
127,344,88
159,112,39
159,344,12
159,127,39
68,188,10
16,544,177
67,544,51
112,287,18
112,1096,44
287,16,47
287,344,10
344,1096,12
287,1096,13
126,233,9
900,233,6
46,733,72
46,126,34
85,733,73
733,126,22
733,900,4
126,900,11
368,233,37
368,900,11
2,134,93
734,1029,21
1029,1029,46
242,914,7
242,734,23
2,734,53
171,222,112
171,157,54
171,344,51
344,157,13
1096,63,22
166,874,22
874,157,50
166,157,5
391,4,31
391,222,8
391,424,8
85,522,50
46,908,117
908,422,36
296,908,19
159,159,34
154,128,32
154,16,106
579,422,31
966,422,9
827,422,58
422,81,40
85,579,76
966,579,11
68,579,29
579,827,20
579,81,67
85,966,127
68,966,22
966,827,10
966,81,14
68,68,51
68,120,61
247,247,72
67,247,58
68,247,56
41,247,37
1516,247,10
1516,13,4
67,1516,14
1516,68,59
112,14,100
391,914,4
368,157,36
188,157,4
13,63,15
368,188,16
368,13,23
13,188,14
95,41,15
95,128,7
95,296,15
95,154,7
112,328,16
391,328,6
